Date,Exchange
20-Dec-22,674.8354
21-Dec-22,674.8354
22-Dec-22,676.228
23-Dec-22,676.228
24-Dec-22,676.228
25-Dec-22,679.8721
26-Dec-22,679.8721
27-Dec-22,681.6849
28-Dec-22,681.6849
29-Dec-22,684.3339
30-Dec-22,684.3339
31-Dec-22,684.3339
1-Jan-23,684.3339
2-Jan-23,684.3339
3-Jan-23,687.2836
4-Jan-23,690.2349
5-Jan-23,694.1992
6-Jan-23,699.8479
7-Jan-23,699.8479
8-Jan-23,699.8479
9-Jan-23,704.1765
10-Jan-23,704.9228
11-Jan-23,705.4164
12-Jan-23,708.6502
13-Jan-23,711.8963
14-Jan-23,714.5217
15-Jan-23,714.5217
16-Jan-23,714.5217
17-Jan-23,722.2308
18-Jan-23,732.0036
19-Jan-23,738.4115
20-Jan-23,746.6113
21-Jan-23,746.6113
22-Jan-23,746.6113
23-Jan-23,755.0467
24-Jan-23,764.547
25-Jan-23,779.3101
26-Jan-23,780.795
27-Jan-23,783.1934
28-Jan-23,783.1934
29-Jan-23,783.1934
30-Jan-23,785.5844
31-Jan-23,796.5215
1-Feb-23,801.6023
2-Feb-23,803.9186
3-Feb-23,805.8788
4-Feb-23,805.8788
5-Feb-23,805.8788
6-Feb-23,812.1532
7-Feb-23,817.0563
8-Feb-23,831.8147
9-Feb-23,835.0978
10-Feb-23,838.852
11-Feb-23,838.852
12-Feb-23,838.852
13-Feb-23,846.1039
14-Feb-23,850.0785
15-Feb-23,856.8403
16-Feb-23,860.7678
17-Feb-23,864.0822
18-Feb-23,864.0822
19-Feb-23,864.0822
20-Feb-23,871.1363
21-Feb-23,871.1363
22-Feb-23,875.6112
23-Feb-23,881.7513
24-Feb-23,884.2323
25-Feb-23,884.2323
26-Feb-23,884.2323
27-Feb-23,885.9619
28-Feb-23,889.1325
1-Mar-23,892.6349
2-Mar-23,896.903
3-Mar-23,899.4263
4-Mar-23,899.4263
5-Mar-23,899.4263
6-Mar-23,903.5621
7-Mar-23,904.7156
8-Mar-23,907.9236
9-Mar-23,908.6308
10-Mar-23,910.3559
11-Mar-23,910.3559
12-Mar-23,910.3559
13-Mar-23,910.9452
14-Mar-23,911.8166
15-Mar-23,912.5828
16-Mar-23,913.1361
17-Mar-23,913.6675
18-Mar-23,913.6675
19-Mar-23,913.6675
20-Mar-23,914.4678
21-Mar-23,914.9547
22-Mar-23,915.1822
23-Mar-23,915.8636
24-Mar-23,916.1134
25-Mar-23,916.1134
26-Mar-23,916.1134
27-Mar-23,916.6577
28-Mar-23,916.97
29-Mar-23,928.5887
30-Mar-23,929.1243
31-Mar-23,929.8618
1-Apr-23,929.8618
2-Apr-23,929.8618
3-Apr-23,932.4874
4-Apr-23,936.1228
5-Apr-23,944.7133
6-Apr-23,945.9365
7-Apr-23,945.9365
8-Apr-23,945.9365
9-Apr-23,945.9365
10-Apr-23,945.9365
11-Apr-23,949.8272
12-Apr-23,959.3111
13-Apr-23,963.5533
14-Apr-23,969.0105
15-Apr-23,969.0105
16-Apr-23,969.0105
17-Apr-23,978.9487
18-Apr-23,978.9487
19-Apr-23,989.0679
20-Apr-23,1000.0227
21-Apr-23,1000.4041
22-Apr-23,1000.4041
23-Apr-23,1000.4041
24-Apr-23,1000.6754
25-Apr-23,1010.9584
26-Apr-23,1021.2072
27-Apr-23,1033.6025
28-Apr-23,1047.4449
29-Apr-23,1047.4449
30-Apr-23,1047.4449
1-May-23,1047.4449
2-May-23,1059.6595
3-May-23,1070.4171
4-May-23,1088.9411
5-May-23,1096.9741
6-May-23,1096.9741
7-May-23,1096.9741
8-May-23,1112.7253
9-May-23,1125.6671
10-May-23,1212.5448
11-May-23,1222.274
12-May-23,1235.3493
13-May-23,1235.3493
14-May-23,1235.3493
15-May-23,1253.6581
16-May-23,1265.6205
17-May-23,1404.8039
18-May-23,1407.8179
19-May-23,1432.5022
20-May-23,1432.5022
21-May-23,1432.5022
22-May-23,1442.7309
23-May-23,1448.9388
24-May-23,1888.0119
25-May-23,1888.0119
26-May-23,1931.7079
27-May-23,1931.7079
28-May-23,1931.7079
29-May-23,1965.3643
30-May-23,1989.1122
31-May-23,2577.0564
1-Jun-23,2611.1693
2-Jun-23,2670.0225
3-Jun-23,2670.0225
4-Jun-23,2670.0225
5-Jun-23,2727.0405
6-Jun-23,2769.9366
7-Jun-23,3673.7718
8-Jun-23,4868.5152
9-Jun-23,5271.0000
10-Jun-23,5271.0000
11-Jun-23,5271.0000
12-Jun-23,5776.6115
13-Jun-23,5813.1435
14-Jun-23,6652.3400
15-Jun-23,6654.9777
16-Jun-23,6654.9882
17-Jun-23,6654.9882
18-Jun-23,6654.9882
19-Jun-23,6725.7203
20-Jun-23,6725.9903
21-Jun-23,6926.5764
22-Jun-23,6926.5764
23-Jun-23,6926.5764
24-Jun-23,6926.5764
25-Jun-23,6926.5764
26-Jun-23,6926.5874
27-Jun-23,6926.6984
28-Jun-23,6809.5987
29-Jun-23,6809.6789
30-Jun-23,6724.2520
1-Jul-23,6724.2520
2-Jul-23,6724.2520
3-Jul-23,5795.1529
4-Jul-23,5825.8693
5-Jul-23,5825.8703
6-Jul-23,5701.4701
7-Jul-23,5701.4701
8-Jul-23,5701.4701
9-Jul-23,5251.0640
10-Jul-23,5251.0640
11-Jul-23,5251.0640
12-Jul-23,4998.8352
13-Jul-23,4998.8352
14-Jul-23,4998.8352
15-Jul-23,4998.8352
16-Jul-23,4998.8352
17-Jul-23,4883.8208
18-Jul-23,4883.8208
19-Jul-23,4771.3854
20-Jul-23,4771.3854
21-Jul-23,4537.4909
22-Jul-23,4537.4909
23-Jul-23,4537.4909
24-Jul-23,4537.4909
25-Jul-23,4537.4909
26-Jul-23,4505.4232
27-Jul-23,4505.4232
28-Jul-23,4517.1359
29-Jul-23,4517.1359
30-Jul-23,4517.1359
31-Jul-23,4517.1359
1-Aug-23,4517.1359
2-Aug-23,4542.3710
3-Aug-23,4542.3710
4-Aug-23,4556.1616
5-Aug-23,4556.1616
6-Aug-23,4556.1616
7-Aug-23,4556.1616
8-Aug-23,4556.1616
9-Aug-23,4559.7414
10-Aug-23,4559.7414
11-Aug-23,4559.7414
12-Aug-23,4559.7414
13-Aug-23,4559.7414
14-Aug-23,4559.7414
15-Aug-23,4559.7414
16-Aug-23,4559.7414
17-Aug-23,4577.5024
18-Aug-23,4577.5024
19-Aug-23,4577.5024
20-Aug-23,4577.5024
21-Aug-23,4577.5024
22-Aug-23,4577.5024
23-Aug-23,4577.5024
24-Aug-23,4577.5024
25-Aug-23,4577.5024
26-Aug-23,4577.5024
27-Aug-23,4577.5024
28-Aug-23,4577.5024
29-Aug-23,4577.5024
30-Aug-23,4604.6233
31-Aug-23,4604.6233
1-Sep-23,4604.6233
2-Sep-23,4604.6233
3-Sep-23,4604.6233
4-Sep-23,4604.6233
5-Sep-23,4604.6233
6-Sep-23,4647.9681
7-Sep-23,4647.9681
8-Sep-23,4647.9681
9-Sep-23,4647.9681
10-Sep-23,4647.9681
11-Sep-23,4647.9681
12-Sep-23,4647.9681
13-Sep-23,4712.1675
14-Sep-23,4712.1675
15-Sep-23,4712.1675
16-Sep-23,4712.1675
17-Sep-23,4712.1675
18-Sep-23,4712.1675
19-Sep-23,4712.1675
20-Sep-23,5015.4279
21-Sep-23,5015.4279
22-Sep-23,5015.4279
23-Sep-23,5015.4279
24-Sep-23,5015.4279
25-Sep-23,5015.4279
26-Sep-23,5252.6558
27-Sep-23,5252.6558
28-Sep-23,5252.6558
29-Sep-23,5252.6558
2-Oct-23,5546.0678
3-Oct-23,5561.9974
4-Oct-23,5591.9615
5-Oct-23,5592.8791
6-Oct-23,5600.8332
7-Oct-23,5600.8332
8-Oct-23,5600.8332
9-Oct-23,5600.8332
10-Oct-23,5600.8332
11-Oct-23,5600.8332
12-Oct-23,5600.8332
13-Oct-23,5600.8332
14-Oct-23,5600.8332
15-Oct-23,5600.8332
16-Oct-23,5600.8332
17-Oct-23,5600.8332
18-Oct-23,5668.2204
19-Oct-23,5668.2204
20-Oct-23,5668.2204
21-Oct-23,5668.2204
22-Oct-23,5668.2204
23-Oct-23,5668.2204
24-Oct-23,5693.7825
25-Oct-23,5693.7825
26-Oct-23,5693.7825
27-Oct-23,5693.7825
28-Oct-23,5693.7825
29-Oct-23,5693.7825
30-Oct-23,5693.7825
31-Oct-23,5693.7825
1-Nov-23,5718.4090
2-Nov-23,5718.4090
3-Nov-23,5718.4090
4-Nov-23,5718.4090
5-Nov-23,5718.4090
6-Nov-23,5718.4090
7-Nov-23,5718.4090
8-Nov-23,5738.7217
9-Nov-23,5738.7217
10-Nov-23,5738.7217
11-Nov-23,5738.7217
12-Nov-23,5738.7217
13-Nov-23,5738.7217
14-Nov-23,5738.7217
15-Nov-23,5755.7081
16-Nov-23,5755.7081
17-Nov-23,5755.7081
18-Nov-23,5755.7081
19-Nov-23,5755.7081
20-Nov-23,5755.7081
21-Nov-23,5755.7081
22-Nov-23,5774.2758
23-Nov-23,5774.2758
24-Nov-23,5774.2758
25-Nov-23,5774.2758
26-Nov-23,5774.2758
27-Nov-23,5774.2758
28-Nov-23,5774.2758
29-Nov-23,5790.0545
30-Nov-23,5790.0545
1-Dec-23,5790.0545
2-Dec-23,5790.0545
3-Dec-23,5790.0545
4-Dec-23,5790.0545
5-Dec-23,5790.0545
6-Dec-23,5827.7972
7-Dec-23,5827.7972
8-Dec-23,5827.7972
9-Dec-23,5827.7972
10-Dec-23,5827.7972
11-Dec-23,5827.7972
12-Dec-23,5827.7972
13-Dec-23,5903.3898
14-Dec-23,5903.3898
15-Dec-23,5903.3898
16-Dec-23,5903.3898
17-Dec-23,5903.3898
18-Dec-23,5903.3898
19-Dec-23,5903.3898
20-Dec-23,5903.3898
21-Dec-23,5903.3898
22-Dec-23,5903.3898
23-Dec-23,5903.3898
24-Dec-23,5903.3898
25-Dec-23,5903.3898
26-Dec-23,5903.3898
27-Dec-23,5946.4371
28-Dec-23,5946.4371
29-Dec-23,5985.8272
30-Dec-23,6104.7225
31-Dec-23,6104.7226
